                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.02305,                 3.0865,                 1.6364,                0.91554,                0.63472,                0.72896,                0.49655,                0.01719,                 1.3498,                  1.295,              0.0019999,              0.0019999,              0.0019999
                      2,                0.01407,                  1.585,                 1.1627,                0.93825,                0.68409,                0.77708,                0.52026,                0.01747,                 1.2071,                 1.2939,              0.0039717,              0.0039717,              0.0039717
                      3,                0.01212,                 1.2766,                 1.0837,                0.93601,                0.67453,                0.77254,                0.51609,                0.01764,                 1.2406,                 1.2916,              0.0059155,              0.0059155,              0.0059155
                      4,                0.01132,                 1.1532,                 1.0504,                0.93627,                0.65661,                0.76251,                0.50013,                0.01805,                 1.3274,                 1.3118,              0.0078311,              0.0078311,              0.0078311
                      5,                0.01088,                 1.0839,                 1.0315,                0.94222,                0.64675,                0.75871,                0.48694,                0.01825,                 1.3937,                 1.3242,              0.0097186,              0.0097186,              0.0097186
                      6,                 0.0106,                 1.0441,                 1.0216,                 0.9492,                0.64039,                0.75436,                0.47256,                0.01842,                 1.4562,                 1.3401,              0.0096484,              0.0096484,              0.0096484
                      7,                0.01031,                 1.0022,                 1.0111,                0.95006,                 0.6602,                0.77115,                0.49134,                0.01771,                 1.3638,                 1.3086,              0.0096484,              0.0096484,              0.0096484
                      8,                0.01017,                0.98121,                 1.0052,                0.95317,                0.69486,                0.79634,                  0.533,                0.01638,                 1.1943,                 1.2477,              0.0095781,              0.0095781,              0.0095781
                      9,                0.01006,                0.96309,                 1.0017,                 0.9574,                0.72742,                 0.8196,                0.57211,                0.01529,                 1.0449,                 1.1963,              0.0095078,              0.0095078,              0.0095078
                     10,                0.00997,                0.94961,                0.99742,                0.96117,                0.75124,                0.83742,                0.60885,                 0.0142,                 0.9358,                 1.1481,              0.0094375,              0.0094375,              0.0094375
                     11,                0.00993,                0.94364,                0.99722,                0.96457,                0.77096,                0.85214,                0.64293,                0.01308,                0.84746,                 1.1027,              0.0093672,              0.0093672,              0.0093672
                     12,                0.00986,                0.93117,                0.99287,                0.96839,                0.78748,                0.86422,                0.67241,                0.01209,                0.77636,                 1.0649,              0.0092969,              0.0092969,              0.0092969
                     13,                0.00982,                0.92628,                0.99232,                0.97155,                0.80026,                0.87368,                0.70304,                0.01095,                0.71519,                 1.0249,              0.0092266,              0.0092266,              0.0092266
                     14,                0.00979,                0.92127,                0.99099,                0.97301,                0.80979,                0.88059,                0.72757,                0.00998,                0.66853,                0.99247,              0.0091563,              0.0091563,              0.0091563
                     15,                0.00975,                0.91257,                0.98965,                0.97403,                0.81513,                0.88479,                0.74277,                0.00935,                0.63901,                0.97219,              0.0090859,              0.0090859,              0.0090859
                     16,                0.00972,                0.90924,                0.98823,                0.97405,                0.81885,                0.88738,                0.75213,                0.00891,                0.61966,                0.95927,              0.0090156,              0.0090156,              0.0090156
                     17,                0.00968,                0.90448,                0.98669,                0.97451,                0.82141,                0.88941,                0.75949,                0.00859,                0.60519,                 0.9496,              0.0089453,              0.0089453,              0.0089453
                     18,                0.00965,                0.89919,                0.98632,                0.97354,                0.82466,                0.89121,                0.76426,                 0.0084,                0.59417,                0.94389,               0.008875,               0.008875,               0.008875
                     19,                0.00964,                0.89543,                0.98586,                0.97418,                0.82648,                0.89257,                0.76843,                0.00824,                0.58589,                0.93882,              0.0088047,              0.0088047,              0.0088047
                     20,                0.00961,                0.89265,                 0.9843,                0.97482,                0.82772,                0.89378,                0.77109,                0.00814,                0.57942,                0.93591,              0.0087344,              0.0087344,              0.0087344
                     21,                0.00958,                0.88842,                0.98343,                0.97536,                0.82879,                 0.8948,                0.77438,                  0.008,                0.57274,                0.93192,              0.0086641,              0.0086641,              0.0086641
                     22,                0.00958,                0.88869,                0.98321,                0.97564,                0.82996,                0.89573,                0.77797,                0.00785,                0.56633,                0.92775,              0.0085938,              0.0085938,              0.0085938
                     23,                0.00956,                0.88479,                0.98257,                0.97498,                0.83181,                0.89652,                 0.7805,                0.00776,                 0.5611,                0.92477,              0.0085234,              0.0085234,              0.0085234
                     24,                0.00954,                0.88023,                0.98127,                 0.9747,                0.83289,                0.89729,                0.78271,                0.00769,                0.55632,                0.92234,              0.0084531,              0.0084531,              0.0084531
                     25,                0.00951,                0.87661,                0.98051,                0.97515,                0.83387,                0.89809,                0.78547,                0.00759,                0.55136,                0.91918,              0.0083828,              0.0083828,              0.0083828
                     26,                0.00949,                0.87434,                0.98031,                0.97499,                0.83508,                0.89875,                0.78759,                0.00751,                0.54719,                0.91684,              0.0083125,              0.0083125,              0.0083125
                     27,                0.00948,                0.87111,                0.97842,                0.97584,                0.83507,                0.89931,                0.78923,                0.00746,                0.54399,                0.91509,              0.0082422,              0.0082422,              0.0082422
                     28,                0.00946,                0.86826,                0.97884,                0.97551,                0.83604,                0.89993,                0.79053,                0.00743,                0.54138,                0.91397,              0.0081719,              0.0081719,              0.0081719
                     29,                0.00946,                0.86874,                0.97869,                0.97583,                0.83674,                0.90039,                 0.7912,                0.00743,                0.53946,                0.91352,              0.0081016,              0.0081016,              0.0081016
                     30,                0.00945,                0.86592,                0.97821,                0.97613,                0.83716,                0.90072,                0.79223,                 0.0074,                0.53741,                0.91259,              0.0080313,              0.0080313,              0.0080313
                     31,                0.00942,                0.86306,                0.97742,                0.97604,                 0.8378,                0.90113,                0.79363,                0.00735,                0.53503,                0.91131,              0.0079609,              0.0079609,              0.0079609
                     32,                0.00941,                0.86181,                0.97646,                0.97614,                0.83841,                0.90152,                0.79442,                0.00733,                0.53323,                0.91039,              0.0078906,              0.0078906,              0.0078906
                     33,                0.00942,                0.86226,                0.97794,                0.97657,                0.83856,                0.90184,                0.79535,                 0.0073,                0.53169,                0.90954,              0.0078203,              0.0078203,              0.0078203
                     34,                0.00939,                0.85856,                0.97609,                0.97701,                 0.8388,                0.90207,                 0.7961,                0.00727,                0.53001,                0.90868,                0.00775,                0.00775,                0.00775
                     35,                0.00938,                0.85668,                0.97591,                0.97672,                0.83929,                0.90239,                0.79684,                0.00724,                 0.5283,                0.90788,              0.0076797,              0.0076797,              0.0076797
                     36,                0.00937,                0.85488,                0.97583,                0.97694,                0.83947,                0.90278,                0.79719,                0.00723,                0.52704,                 0.9077,              0.0076094,              0.0076094,              0.0076094
                     37,                0.00935,                0.85368,                0.97477,                0.97614,                0.84055,                0.90307,                0.79773,                0.00722,                0.52596,                0.90726,              0.0075391,              0.0075391,              0.0075391
                     38,                0.00933,                0.85065,                0.97441,                0.97677,                0.84057,                0.90335,                0.79805,                0.00721,                0.52484,                0.90702,              0.0074687,              0.0074687,              0.0074687
                     39,                0.00933,                0.85005,                 0.9747,                0.97661,                0.84119,                0.90362,                0.79836,                 0.0072,                0.52345,                0.90665,              0.0073984,              0.0073984,              0.0073984
                     40,                 0.0093,                0.84458,                0.97352,                0.97652,                0.84137,                0.90387,                  0.799,                0.00717,                0.52208,                0.90588,              0.0073281,              0.0073281,              0.0073281
                     41,                0.00931,                0.84801,                0.97343,                0.97643,                0.84193,                0.90409,                0.79934,                0.00716,                0.52095,                0.90551,              0.0072578,              0.0072578,              0.0072578
                     42,                0.00931,                0.84565,                0.97261,                0.97697,                0.84187,                0.90423,                0.80001,                0.00713,                0.51951,                0.90472,              0.0071875,              0.0071875,              0.0071875
                     43,                 0.0093,                0.84618,                0.97329,                0.97736,                 0.8417,                0.90437,                0.80031,                0.00712,                0.51878,                0.90442,              0.0071172,              0.0071172,              0.0071172
                     44,                0.00929,                0.84369,                 0.9721,                 0.9773,                0.84212,                0.90452,                0.80051,                0.00712,                0.51786,                0.90432,              0.0070469,              0.0070469,              0.0070469
                     45,                0.00928,                0.84164,                0.97201,                0.97714,                0.84223,                 0.9047,                0.80066,                0.00712,                0.51685,                0.90433,              0.0069766,              0.0069766,              0.0069766
                     46,                0.00925,                0.83872,                0.97151,                0.97659,                0.84274,                0.90488,                 0.8008,                0.00711,                0.51622,                0.90416,              0.0069063,              0.0069063,              0.0069063
                     47,                0.00924,                0.83724,                0.97103,                0.97682,                0.84293,                0.90501,                0.80112,                 0.0071,                0.51551,                0.90384,              0.0068359,              0.0068359,              0.0068359
                     48,                0.00925,                0.83776,                0.97183,                0.97678,                 0.8433,                0.90514,                0.80168,                0.00707,                 0.5145,                0.90321,              0.0067656,              0.0067656,              0.0067656
                     49,                0.00925,                0.83671,                0.97079,                 0.9768,                0.84359,                0.90539,                0.80221,                0.00705,                0.51373,                0.90281,              0.0066953,              0.0066953,              0.0066953
                     50,                0.00922,                0.83375,                0.96974,                0.97701,                 0.8436,                0.90564,                0.80298,                0.00704,                0.51248,                0.90224,               0.006625,               0.006625,               0.006625
                     51,                0.00921,                0.83315,                0.97011,                0.97733,                0.84357,                0.90582,                0.80282,                0.00705,                0.51215,                0.90263,              0.0065547,              0.0065547,              0.0065547
