                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.01122,                 3.7369,                 1.5465,                0.91772,                0.62582,                0.71981,                 0.5505,                0.00685,                 1.5877,                 1.1564,              0.0033331,              0.0033331,              0.0033331
                      2,                 0.0074,                 2.0655,                 1.1383,                0.94095,                0.69183,                 0.7836,                0.60584,                0.00641,                 1.3146,                 1.1094,              0.0066248,              0.0066248,              0.0066248
                      3,                0.00683,                 1.7084,                  1.091,                0.94078,                0.69081,                0.78425,                0.59801,                0.00672,                 1.3374,                 1.1298,              0.0098748,              0.0098748,              0.0098748
                      4,                0.00652,                 1.5545,                 1.0655,                0.93584,                0.67144,                 0.7698,                 0.5787,                0.00701,                 1.4359,                 1.1555,              0.0098125,              0.0098125,              0.0098125
                      5,                0.00623,                 1.4534,                 1.0442,                0.93623,                0.67017,                 0.7686,                0.57336,                 0.0071,                 1.4389,                 1.1637,              0.0098125,              0.0098125,              0.0098125
                      6,                0.00603,                 1.3911,                 1.0318,                0.94406,                0.68871,                0.78427,                0.57781,                0.00716,                 1.3523,                 1.1641,                0.00975,                0.00975,                0.00975
                      7,                0.00592,                 1.3506,                 1.0237,                0.95147,                0.71492,                0.80478,                0.59651,                0.00695,                  1.236,                  1.142,              0.0096875,              0.0096875,              0.0096875
                      8,                0.00584,                 1.3231,                 1.0183,                0.95717,                0.73845,                0.82377,                 0.6208,                 0.0066,                 1.1278,                 1.1107,               0.009625,               0.009625,               0.009625
                      9,                0.00577,                 1.3015,                 1.0146,                0.96156,                0.75731,                0.83898,                0.65171,                0.00606,                 1.0306,                 1.0676,              0.0095625,              0.0095625,              0.0095625
                     10,                0.00571,                 1.2864,                 1.0103,                0.96506,                0.77308,                0.85168,                0.68711,                0.00542,                0.94204,                 1.0233,                 0.0095,                 0.0095,                 0.0095
                     11,                0.00567,                 1.2676,                 1.0077,                0.96723,                0.78409,                0.86057,                0.71583,                0.00489,                0.87739,                0.98926,              0.0094375,              0.0094375,              0.0094375
                     12,                0.00564,                 1.2592,                 1.0054,                0.96781,                0.79162,                0.86624,                0.73322,                0.00452,                0.83556,                0.96769,               0.009375,               0.009375,               0.009375
                     13,                0.00561,                 1.2485,                  1.003,                0.96891,                0.79732,                0.87058,                0.74264,                0.00435,                0.80791,                0.95665,              0.0093125,              0.0093125,              0.0093125
                     14,                0.00557,                 1.2366,                 1.0011,                0.96943,                0.80194,                  0.874,                0.75011,                0.00421,                0.78581,                0.94796,                0.00925,                0.00925,                0.00925
